"Stream/Site name","Collected","North","Delta","Nid"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 (All day)","34","21","5620"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","8","","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","9","1","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","10","2","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","11","3","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","13","4","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","14","5","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","15","6","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","16","7","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","17","8","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","18","9","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","19","10","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","20","11","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","21","12","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","22","13","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","23","14","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","24","15","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","26","16","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","27","17","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","28","18","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","29","19","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","33","20","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 22:00","34","21","5624"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","3","","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","4","1","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","8","2","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","9","3","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","10","4","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","11","5","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","14","6","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","15","7","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","16","8","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","17","9","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","18","10","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","20","11","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","21","12","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","22","13","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","23","14","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","24","15","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","26","16","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","27","17","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","28","18","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","29","19","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","33","20","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:00","34","21","5625"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","3","","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","4","1","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","9","2","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","10","3","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","11","4","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","14","5","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","15","6","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","16","7","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","17","8","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","18","9","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","20","10","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","21","11","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","22","12","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","23","13","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","24","14","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","26","15","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","27","16","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","28","17","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","29","18","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","33","19","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","34","20","5630"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","3","","5631"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","4","1","5631"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","8","2","5631"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","10","3","5631"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","11","4","5631"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","13","5","5631"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","14","6","5631"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","15","7","5631"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","16","8","5631"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","17","9","5631"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","18","10","5631"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","19","11","5631"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","24","12","5631"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","29","13","5631"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","33","14","5631"
"Hamilton Creek - LHS & Santiam Watershed Council","Wed, 2014-03-12 10:50","34","15","5631"
"Beverly Beach ","Sat, 2014-03-15 16:20","","","5675"
"Outer Space ","Thu, 2014-05-08 01:44","4","","5927"
"Outer Space ","Thu, 2014-05-08 01:44","10","1","5927"
"Outer Space ","Thu, 2014-05-08 01:44","11","2","5927"
"Metolius River ","Thu, 2014-05-08 08:59","","","5929"
"Dharma Rain Zen Center Brownfield Restoration","Fri, 2014-05-16 (All day)","26","","6007"
"Dharma Rain Zen Center Brownfield Restoration","Fri, 2014-05-16 (All day)","33","1","6007"
"Dharma Rain Zen Center Brownfield Restoration","Fri, 2014-05-16 (All day)","34","2","6007"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","3","","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","4","1","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","8","2","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","9","3","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","10","4","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","13","5","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","14","6","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","15","7","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","16","8","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","19","9","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","20","10","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","21","11","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","22","12","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","23","13","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","24","14","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","26","15","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","27","16","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","28","17","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","29","18","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","33","19","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:09","34","20","6043"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","3","","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","4","1","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","8","2","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","9","3","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","10","4","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","11","5","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","13","6","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","14","7","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","15","8","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","16","9","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","18","10","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","19","11","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","20","12","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","21","13","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","22","14","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","24","15","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","26","16","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","27","17","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","28","18","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","29","19","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","33","20","6049"
"No Name Creek at Eddyville Charter School","Sun, 2011-05-29 12:15","34","21","6049"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","8","","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","9","1","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","10","2","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","11","3","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","13","4","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","14","5","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","15","6","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","16","7","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","17","8","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","18","9","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","19","10","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","20","11","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","21","12","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","22","13","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","23","14","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","24","15","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","26","16","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","27","17","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","28","18","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 11:18","29","19","6058"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","3","","6060"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","4","1","6060"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","8","2","6060"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","10","3","6060"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","11","4","6060"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","13","5","6060"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","14","6","6060"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","15","7","6060"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","16","8","6060"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","17","9","6060"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","18","10","6060"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","19","11","6060"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","21","12","6060"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","27","13","6060"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:09","33","14","6060"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","3","","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","4","1","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","9","2","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","10","3","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","11","4","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","14","5","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","15","6","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","16","7","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","17","8","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","18","9","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","19","10","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","20","11","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","21","12","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","22","13","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","23","14","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","24","15","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","26","16","6061"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 12:13","29","17","6061"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","3","","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","4","1","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","8","2","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","9","3","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","10","4","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","11","5","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","13","6","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","14","7","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","15","8","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","16","9","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","17","10","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","18","11","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","19","12","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","20","13","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","21","14","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","22","15","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","23","16","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","24","17","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","26","18","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","33","19","6062"
"No Name Creek at Eddyville Charter School","Fri, 2011-06-03 23:12","34","20","6062"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","3","","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","4","1","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","8","2","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","9","3","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","10","4","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","11","5","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","13","6","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","14","7","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","15","8","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","16","9","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","17","10","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","18","11","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","19","12","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","20","13","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","21","14","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","23","15","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","26","16","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","27","17","6063"
"No Name Creek at Eddyville Charter School","Tue, 2014-06-03 23:21","33","18","6063"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","3","","6200"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","4","1","6200"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","11","2","6200"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","17","3","6200"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","18","4","6200"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","24","5","6200"
"Hesthavn Nature Center","Wed, 2014-08-13 13:33","3","","6202"
"Hesthavn Nature Center","Wed, 2014-08-13 13:33","4","1","6202"
"Hesthavn Nature Center","Wed, 2014-08-13 13:33","11","2","6202"
"Hesthavn Nature Center","Wed, 2014-08-13 13:33","17","3","6202"
"Hesthavn Nature Center","Wed, 2014-08-13 13:33","18","4","6202"
"Hesthavn Nature Center","Wed, 2014-08-13 13:33","24","5","6202"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","3","","6203"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","4","1","6203"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","9","2","6203"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","10","3","6203"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","11","4","6203"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","14","5","6203"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","15","6","6203"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","16","7","6203"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","17","8","6203"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","18","9","6203"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","21","10","6203"
"Hesthavn Nature Center","Wed, 2014-08-13 14:00","24","","6204"
"Coast Creek Data","Fri, 2014-09-26 13:36","3","","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","4","1","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","8","2","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","9","3","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","10","4","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","11","5","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","13","6","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","14","7","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","15","8","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","16","9","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","17","10","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","18","11","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","19","12","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","20","13","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","21","14","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","22","15","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","23","16","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","24","17","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","26","18","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","27","19","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","28","20","6346"
"Coast Creek Data","Fri, 2014-09-26 13:36","33","21","6346"
"Coast Creek Data","Fri, 2014-09-26 13:40","8","","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","11","1","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","13","2","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","14","3","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","15","4","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","16","5","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","17","6","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","18","7","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","19","8","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","20","9","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","21","10","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","22","11","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","23","12","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","24","13","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","26","14","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","27","15","6347"
"Coast Creek Data","Fri, 2014-09-26 13:40","33","16","6347"
"Coast Creek Data","Fri, 2014-09-26 13:41","3","","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","4","1","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","8","2","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","9","3","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","10","4","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","11","5","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","13","6","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","14","7","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","15","8","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","16","9","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","17","10","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","18","11","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","19","12","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","20","13","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","24","14","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","26","15","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","27","16","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","33","17","6348"
"Coast Creek Data","Fri, 2014-09-26 13:41","34","18","6348"
"Grande Ronde River","Wed, 2014-10-08 11:00","3","","6383"
"Grande Ronde River","Wed, 2014-10-08 11:00","4","1","6383"
"Grande Ronde River","Wed, 2014-10-08 11:00","11","2","6383"
"Grande Ronde River","Wed, 2014-10-08 11:00","29","3","6383"
"Grande Ronde River","Wed, 2014-10-08 11:00","33","4","6383"
"Grande Ronde River","Wed, 2014-10-08 11:00","34","5","6383"
"Bear Creek","Tue, 2014-10-14 (All day)","3","","6392"
"Bear Creek","Tue, 2014-10-14 (All day)","8","1","6392"
"Bear Creek","Tue, 2014-10-14 (All day)","9","2","6392"
"Bear Creek","Tue, 2014-10-14 (All day)","13","3","6392"
"Bear Creek","Tue, 2014-10-14 (All day)","14","4","6392"
"Bear Creek","Tue, 2014-10-14 (All day)","15","5","6392"
"Bear Creek","Tue, 2014-10-14 (All day)","19","6","6392"
"Bear Creek","Tue, 2014-10-14 (All day)","20","7","6392"
"Bear Creek","Tue, 2014-10-14 (All day)","21","8","6392"
"Bear Creek","Tue, 2014-10-14 (All day)","26","9","6392"
"Bear Creek","Tue, 2014-10-14 (All day)","27","10","6392"
"Bear Creek","Tue, 2014-10-14 (All day)","28","11","6392"
"Bear Creek","Tue, 2014-10-14 (All day)","29","12","6392"
"Bear Creek","Tue, 2014-10-14 (All day)","33","13","6392"
"Bear Creek","Tue, 2014-10-14 (All day)","34","14","6392"
"Bear Creek","Wed, 2014-10-15 (All day)","3","","6395"
"Bear Creek","Wed, 2014-10-15 (All day)","4","1","6395"
"Bear Creek","Wed, 2014-10-15 (All day)","8","2","6395"
"Bear Creek","Wed, 2014-10-15 (All day)","9","3","6395"
"Bear Creek","Wed, 2014-10-15 (All day)","10","4","6395"
"Bear Creek","Wed, 2014-10-15 (All day)","11","5","6395"
"Bear Creek","Wed, 2014-10-15 (All day)","13","6","6395"
"Bear Creek","Wed, 2014-10-15 (All day)","14","7","6395"
"Bear Creek","Wed, 2014-10-15 (All day)","15","8","6395"
"Bear Creek","Wed, 2014-10-15 (All day)","19","9","6395"
"Bear Creek","Wed, 2014-10-15 (All day)","20","10","6395"
"Bear Creek","Wed, 2014-10-15 (All day)","21","11","6395"
